SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28,SC29,SC30,SC31,SC32,SC33,SC34,SC35,SC36,SC37,SC38,SC39,SC40,SC41,AVERAGE
62.0,57.0,77.0,33.0,51.0,55.0,72.0,55.0,53.0,32.0,46.0,45.0,26.0,29.0,47.0,45.0,63.0,63.0,59.0,54.0,57.0,53.0,71.0,74.0,58.0,53.0,60.0,50.0,60.0,61.0,45.0,63.0,45.0,45.0,45.0,46.0,60.0,48.0,47.0,53.0,57.0,53.0
55.0,50.0,52.0,73.0,57.0,72.0,43.0,65.0,48.0,76.0,51.0,62.0,52.0,58.0,41.0,45.0,78.0,51.0,59.0,52.0,52.0,68.0,71.0,41.0,70.0,48.0,46.0,3.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,53.5
64.0,51.0,67.0,45.0,58.0,62.0,56.0,62.0,65.0,57.0,57.0,54.0,46.0,64.0,72.0,54.0,59.0,48.0,58.0,50.0,63.0,43.0,70.0,63.0,55.0,31.0,65.0,43.0,70.0,53.0,61.0,74.0,29.0,45.0,38.0,48.0,50.0,56.0,39.0,45.0,50.0,54.6
50.0,53.0,64.0,45.0,37.0,79.0,40.0,28.0,57.0,54.0,57.0,44.0,45.0,34.0,63.0,55.0,47.0,60.0,45.0,52.0,48.0,66.0,44.0,70.0,40.0,56.0,51.0,50.0,58.0,40.0,48.0,71.0,40.0,54.0,46.0,40.0,68.0,40.0,34.0,45.0,72.0,51.0
77.0,64.0,73.0,67.0,45.0,65.0,57.0,58.0,64.0,47.0,65.0,46.0,51.0,45.0,46.0,56.0,45.0,45.0,41.0,52.0,55.0,64.0,70.0,76.0,51.0,78.0,45.0,50.0,65.0,60.0,48.0,60.0,81.0,50.0,50.0,65.0,60.0,68.0,32.0,60.0,50.0,57.2
55.0,56.0,65.0,45.0,20.0,84.0,87.0,52.0,75.0,53.0,50.0,69.0,56.0,58.0,55.0,67.0,47.0,60.0,70.0,51.0,72.0,81.0,68.0,75.0,57.0,70.0,65.0,71.0,68.0,45.0,48.0,60.0,55.0,70.0,57.0,45.0,76.0,61.0,46.0,65.0,70.0,61.0
68.0,83.0,65.0,60.0,72.0,60.0,54.0,53.0,79.0,62.0,74.0,72.0,52.0,73.0,90.0,58.0,58.0,52.0,66.0,41.0,65.0,52.0,26.0,63.0,60.0,72.0,66.0,67.0,61.0,72.0,57.0,54.0,51.0,51.0,49.0,46.0,64.0,55.0,52.0,84.0,82.0,62.0
52.0,55.0,58.0,64.0,45.0,50.0,50.0,55.0,48.0,46.0,60.0,78.0,70.0,46.0,70.0,60.0,70.0,58.0,48.0,56.0,54.0,67.0,73.0,60.0,70.0,60.0,45.0,63.0,52.0,51.0,56.0,53.0,72.0,66.0,62.0,60.0,70.0,74.0,49.0,56.0,66.0,59.0
50.0,57.0,45.0,35.0,58.0,47.0,45.0,68.0,30.0,13.0,21.0,45.0,25.0,23.0,36.0,28.0,58.0,32.0,52.0,48.0,55.0,40.0,62.0,40.0,40.0,24.0,16.0,18.0,30.0,61.0,23.0,28.0,28.0,40.0,28.0,31.0,33.0,38.0,64.0,66.0,50.0,39.8
59.0,46.0,72.0,55.0,55.0,54.0,51.0,50.0,50.0,91.0,50.0,45.0,45.0,35.0,52.0,50.0,55.0,47.0,55.0,38.0,40.0,38.0,71.0,61.0,40.0,23.0,21.0,29.0,30.0,47.0,54.0,74.0,26.0,68.0,50.0,35.0,45.0,68.0,56.0,50.0,52.0,49.6
61.0,58.0,50.0,19.0,45.0,83.0,77.0,60.0,68.0,48.0,64.0,56.0,57.0,53.0,51.0,52.0,54.0,74.0,52.0,50.0,67.0,60.0,41.0,54.0,60.0,60.0,77.0,50.0,45.0,57.0,67.0,40.0,75.0,68.0,51.0,40.0,49.0,45.0,37.0,55.0,39.0,55.3
50.0,34.0,60.0,54.0,62.0,52.0,53.0,39.0,70.0,52.0,46.0,50.0,53.0,45.0,54.0,56.0,37.0,62.0,36.0,60.0,63.0,57.0,71.0,40.0,50.0,63.0,42.0,55.0,45.0,55.0,74.0,40.0,63.0,51.0,50.0,62.0,43.0,45.0,45.0,57.0,54.0,52.4
53.0,15.0,14.0,26.0,18.0,46.0,30.0,39.0,10.0,0.0,3.0,43.0,45.0,0.0,0.0,0.0,10.0,0.0,0.0,45.0,0.0,0.0,0.0,17.0,40.0,0.5,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,29.4
46.0,50.0,60.0,18.0,37.0,46.0,57.0,30.0,37.0,52.0,45.0,17.0,24.0,38.0,45.0,30.0,22.0,45.0,53.0,45.0,53.0,52.0,48.0,71.0,43.0,40.0,36.0,41.0,29.0,21.0,23.0,18.0,21.0,30.0,42.0,23.0,50.0,27.0,46.0,33.0,56.0,39.0
60.0,57.0,75.0,62.0,79.0,77.0,78.0,58.0,77.0,59.0,29.0,65.0,51.0,50.0,74.0,64.0,56.0,49.0,58.0,50.0,50.0,47.0,74.0,60.0,55.0,46.0,45.0,48.0,49.0,60.0,50.0,67.0,57.0,58.0,57.0,52.0,70.0,51.0,61.0,49.0,45.0,58.0
62.0,78.0,58.0,45.0,66.0,70.0,55.0,52.0,73.0,60.0,50.0,74.0,28.0,44.0,35.0,66.0,45.0,48.0,64.0,48.0,42.0,52.0,58.0,45.0,71.0,48.0,53.0,65.0,75.0,57.0,57.0,78.0,65.0,59.0,47.0,36.0,83.0,52.0,45.0,66.0,95.0,57.8
55.0,21.0,30.0,45.0,45.0,23.0,72.0,45.0,52.0,54.0,40.0,60.0,57.0,55.0,17.0,32.0,45.0,57.0,62.0,17.0,38.0,60.0,30.0,45.0,34.0,36.0,45.0,34.0,28.0,1.7,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,43.6
41.0,50.0,41.0,45.0,54.0,52.0,45.0,35.0,58.0,35.0,47.0,45.0,33.0,56.0,32.0,45.0,37.0,36.0,34.0,57.0,37.0,32.0,26.0,45.0,47.0,46.0,70.0,22.0,32.0,29.0,21.0,29.0,42.0,47.0,7.0,40.0,35.0,37.0,25.0,52.0,24.0,39.6
62.0,64.0,55.0,27.0,45.0,45.0,22.0,57.0,46.0,34.0,27.0,26.0,32.0,27.0,61.0,46.0,50.0,27.0,31.0,43.0,48.0,64.0,62.0,46.0,16.0,25.0,45.0,45.0,40.0,60.0,71.0,41.0,48.0,52.0,31.0,45.0,60.0,46.0,50.0,59.0,60.0,44.9
40.0,40.0,45.0,48.0,61.0,60.0,55.0,40.0,64.0,55.0,63.0,43.0,60.0,55.0,70.0,58.0,51.0,49.0,48.0,49.0,63.0,71.0,58.0,46.0,67.0,69.0,47.0,65.0,59.0,47.0,56.0,71.0,45.0,41.0,43.0,65.0,55.0,48.0,50.0,57.0,2.8,53.2
45.0,50.0,45.0,47.0,17.0,16.0,19.0,19.0,1.0,32.0,32.0,21.0,28.0,63.0,36.0,19.0,54.0,26.0,40.0,30.0,53.0,21.0,28.0,15.0,32.0,23.0,22.0,73.0,15.0,30.0,12.0,19.0,47.0,4.0,33.0,35.0,46.0,48.0,53.0,51.0,47.0,32.9
57.0,60.0,55.0,52.0,70.0,60.0,61.0,32.0,65.0,48.0,45.0,47.0,46.0,51.0,47.0,67.0,68.0,48.0,72.0,51.0,68.0,82.0,55.0,70.0,67.0,55.0,56.0,60.0,48.0,40.0,51.0,67.0,42.0,75.0,61.0,54.0,77.0,46.0,50.0,48.0,73.0,57.2
52.0,67.0,53.0,60.0,22.0,52.0,57.0,26.0,18.0,37.0,14.0,21.0,22.0,31.0,13.0,29.0,45.0,26.0,28.0,47.0,52.0,46.0,50.0,20.0,21.0,55.0,54.0,54.0,54.0,15.0,45.0,28.0,64.0,33.0,45.0,54.0,70.0,1.7,48.3,49.3,47.8,39.7
42.0,66.0,65.0,57.0,60.0,62.0,52.0,40.0,67.0,44.0,60.0,47.0,50.0,52.0,50.0,51.0,26.0,61.0,61.0,57.0,60.0,53.0,46.0,51.0,65.0,50.0,61.0,57.0,47.0,28.0,45.0,27.0,60.0,32.0,47.0,52.0,59.0,45.0,48.0,53.0,2.6,50.2
48.0,54.0,31.0,38.0,23.0,58.0,46.0,45.0,12.0,50.0,47.0,54.0,54.0,25.0,15.0,40.0,29.0,45.0,25.0,34.0,30.0,25.0,32.0,45.0,54.0,47.0,68.0,47.0,50.0,52.0,60.0,57.0,54.0,45.0,0.0,20.0,29.0,51.0,33.0,62.0,50.0,41.1
50.0,55.0,62.0,71.0,62.0,45.0,46.0,54.0,65.0,58.0,52.0,45.0,51.0,51.0,25.0,64.0,21.0,50.0,58.0,70.0,38.0,51.0,23.0,54.0,51.0,67.0,62.0,72.0,69.0,60.0,68.0,65.0,74.0,55.0,80.0,55.0,47.0,74.0,51.0,63.0,58.0,55.9
70.0,67.0,58.0,53.0,84.0,67.0,48.0,51.0,66.0,58.0,55.0,67.0,40.0,44.0,50.0,56.0,61.0,29.0,40.0,51.0,33.0,57.0,31.0,26.0,63.0,55.0,72.0,61.0,59.0,74.0,73.0,51.0,54.0,50.0,45.0,53.0,48.0,45.0,45.0,64.0,51.0,54.3
60.0,75.0,70.0,52.0,67.0,60.0,55.0,40.0,65.0,43.0,64.0,40.0,62.0,48.0,61.0,66.0,24.0,52.0,64.0,74.0,75.0,73.0,69.0,55.0,75.0,68.0,63.0,76.0,68.0,25.0,65.0,76.0,70.0,50.0,71.0,82.0,77.0,53.0,82.0,65.0,3.6,60.6
60.0,74.0,63.0,63.0,62.0,62.0,53.0,53.0,76.0,67.0,80.0,61.0,46.0,54.0,70.0,80.0,68.0,71.0,58.0,44.0,65.0,49.0,57.0,49.0,61.0,62.0,57.0,64.0,66.0,68.0,57.0,49.0,72.0,64.0,42.0,62.0,50.0,58.0,67.0,77.0,58.0,61.4
